Budget,N,d_model,layers,heads,LR,Tokens,dataset,D_N_ratio
6e+15,2359296,128,12,8,0.00313,424000000.0,tss,179.65
6e+15,2359296,128,12,8,0.00391,424000000.0,tss,179.65
6e+15,2359296,128,12,8,0.00488,424000000.0,tss,179.65
6e+15,3686400,160,12,8,0.0025,271000000.0,tss,73.59
6e+15,3686400,160,12,8,0.00313,271000000.0,tss,73.59
6e+15,3686400,160,12,8,0.00391,271000000.0,tss,73.59
6e+15,5308416,192,12,8,0.00208,188000000.0,tss,35.49
6e+15,5308416,192,12,8,0.0026,188000000.0,tss,35.49
6e+15,5308416,192,12,8,0.00326,188000000.0,tss,35.49
6e+15,7225344,224,12,8,0.00179,138000000.0,tss,19.16
6e+15,7225344,224,12,8,0.00223,138000000.0,tss,19.16
6e+15,7225344,224,12,8,0.00279,138000000.0,tss,19.16
6e+15,9437184,256,12,8,0.00156,106000000.0,tss,11.23
6e+15,9437184,256,12,8,0.00195,106000000.0,tss,11.23
6e+15,9437184,256,12,8,0.00244,106000000.0,tss,11.23
6e+15,11943936,288,12,8,0.00139,83700000.0,tss,7.01
6e+15,11943936,288,12,8,0.00174,83700000.0,tss,7.01
6e+15,11943936,288,12,8,0.00217,83700000.0,tss,7.01
6e+15,14745600,320,12,8,0.00125,67800000.0,tss,4.6
6e+15,14745600,320,12,8,0.00156,67800000.0,tss,4.6
6e+15,14745600,320,12,8,0.00195,67800000.0,tss,4.6
6e+15,17842176,352,12,8,0.00114,56000000.0,tss,3.14
6e+15,17842176,352,12,8,0.00142,56000000.0,tss,3.14
6e+15,17842176,352,12,8,0.00178,56000000.0,tss,3.14
